07:58:03.715 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:03.715 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:03.779 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:03.779 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:03.881 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:03.881 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:03.881 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:03.881 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.103 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.103 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.112 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.112 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.122 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.122 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.129 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.129 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.138 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.138 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.146 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.146 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.154 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.154 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.161 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.162 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.170 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.170 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.179 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.179 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.189 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.189 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.198 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.198 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.206 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.206 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.213 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.213 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.221 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.221 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.229 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
